pair_key,dataset,visibility,clip_id,physical_case_id,frame_index,frame_member,gt_member,frame_size,gt_size,external_case_id,cluster_id,sampling_rank_within_case,sampling_hash,source_split_label,precontamination_status
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0107,TestHardDataset,Unseen,case10_2,case10,107,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0107.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0107.png,403120,4492,SUNSEG_case10,case10,11,04defc325d3832a77c53d981d11d8c7e395929135c21a928db5c7d5b3c93c6f9,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0064,TestHardDataset,Unseen,case10_1,case10,64,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0064.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0064.png,390812,3907,SUNSEG_case10,case10,12,05286ff04c9eac484490ed614d2c9409dbd12d015143ad5f9d36bb59a3aa2c6d,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0136,TestHardDataset,Unseen,case10_2,case10,136,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0136.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0136.png,323475,4176,SUNSEG_case10,case10,13,0587ad88040eb6eb957b775f82a632071120176766b40a6a499fe2212d9df59d,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0202,TestHardDataset,Unseen,case10_2,case10,202,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0202.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0202.png,281773,4180,SUNSEG_case10,case10,14,05d16349030f0d11f44fa0fde8f1f8cd44e6d2d05881630781f1df4a7655e6fc,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0051,TestHardDataset,Unseen,case10_2,case10,51,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0051.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0051.png,351885,4459,SUNSEG_case10,case10,15,05fa4aa9c8e7415977a41945b96e3dd7fadaeb680cd5cac60ba09795be1877f2,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0022,TestHardDataset,Unseen,case10_2,case10,22,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0022.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0022.png,270121,3953,SUNSEG_case10,case10,16,069946c32581c12f51be1a2e08a4c2ad3ffcca0f4635f8220baa2c02b90bfb08,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a15_ayy_image0011,TestHardDataset,Unseen,case10_1,case10,11,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0011.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a15_ayy_image0011.png,238251,4931,SUNSEG_case10,case10,17,06be5a3abad4abdbf630937c12d4f450ba498f2c804b657eee0935a0a8929990,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0222,TestHardDataset,Unseen,case10_2,case10,222,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0222.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0222.png,354624,4205,SUNSEG_case10,case10,18,07fc4cf485890a12219e43c972a5c075e08f740d98fca3182604bcf08c8e6d64,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_1/case_m_20181113100307_0u62372111373406_1_005_001-1_a14_ayy_image0003,TestHardDataset,Unseen,case10_1,case10,3,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a14_ayy_image0003.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_1/case_M_20181113100307_0U62372111373406_1_005_001-1_a14_ayy_image0003.png,288208,3915,SUNSEG_case10,case10,19,0862b4c22fe602ad2dacac1b5ffdd4c9e0a96dfb00d72ef7ad8124f4456d2ae4,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case10_2/case_m_20181113100307_0u62372111373406_1_005_001-1_a26_ayy_image0002,TestHardDataset,Unseen,case10_2,case10,2,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0002.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case10_2/case_M_20181113100307_0U62372111373406_1_005_001-1_a26_ayy_image0002.png,404039,4174,SUNSEG_case10,case10,20,08c4db81d9410562b3653915bb87ad25f10dcbf36f130dda702d850c4f352742,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0019,TestHardDataset,Unseen,case100,case100,19,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0019.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0019.png,359493,3815,SUNSEG_case100,case100,1,014942c49b7bd341bae6e3be199dbc8bc04e6d2e5a956af84c3a697203f76686,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0022,TestHardDataset,Unseen,case100,case100,22,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0022.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0022.png,286588,3781,SUNSEG_case100,case100,2,0166f12cfee48644f6993b52301e10c7f00052fc9208c32373d0d5abb9f39177,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a2_ayy_image0016,TestHardDataset,Unseen,case100,case100,16,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0016.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0016.png,351090,4198,SUNSEG_case100,case100,3,01e65135d700f4af43fe7c3d4ef68d0450a1eb8389011702824cc8387a44a6d6,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0017,TestHardDataset,Unseen,case100,case100,17,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0017.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0017.png,341899,3883,SUNSEG_case100,case100,4,034ba9daff6d995678a517311faa03acdb9acce581699dcce5d71f13d5a6668a,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0046,TestHardDataset,Unseen,case100,case100,46,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0046.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0046.png,317791,4438,SUNSEG_case100,case100,5,0630b6c449e4689a0786f041c35133fd2e3e3ffb4408c9acb29c603552ea83ea,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0054,TestHardDataset,Unseen,case100,case100,54,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0054.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0054.png,410719,3756,SUNSEG_case100,case100,6,079da12b8d578efb5eb994927e12e223bd6356019b40828d14fed9048d0f4d8a,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0012,TestHardDataset,Unseen,case100,case100,12,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0012.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0012.png,384166,4048,SUNSEG_case100,case100,7,0aa23ac9c8c5c9c238ca2d46c1c005f53dbb2a6a3c7151d50adce0ffeeb82e56,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0012,TestHardDataset,Unseen,case100,case100,12,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0012.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0012.png,374669,3812,SUNSEG_case100,case100,8,0ab6a5b32b2ea945dae372076a278b893843840c3984abab4ecb5e1b17ae644c,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0036,TestHardDataset,Unseen,case100,case100,36,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0036.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0036.png,378060,4018,SUNSEG_case100,case100,9,0ae7fcba50430e59a66ead26ed16c05715688e29d1cbef52d81869ae2a6cce95,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0015,TestHardDataset,Unseen,case100,case100,15,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0015.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0015.png,362396,3982,SUNSEG_case100,case100,10,0b8f33b7009be3e943922c3aa77fc6612d52e590fed539676a56a2f7cac0f382,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0046,TestHardDataset,Unseen,case100,case100,46,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0046.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0046.png,375978,3911,SUNSEG_case100,case100,11,0c651cd765d8856519b7e68840898b174f16effb56062e8d92b52e54a074ffcf,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0051,TestHardDataset,Unseen,case100,case100,51,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0051.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0051.png,392475,3756,SUNSEG_case100,case100,12,0e2963819df01470f2cc450b098394936e6c7ae4d3988fd289ea13d214b1eda3,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a2_ayy_image0018,TestHardDataset,Unseen,case100,case100,18,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0018.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0018.png,327887,4172,SUNSEG_case100,case100,13,0ed4532fa163b951e8971ebcbbdcb4b433eca0a50e931718ad0d885dcb484822,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0026,TestHardDataset,Unseen,case100,case100,26,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0026.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0026.png,380054,4003,SUNSEG_case100,case100,14,0efe0bed15d965b452ec2e6c26806d94964b1235e524d1e37cb851ee4f6f9efa,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a6_ayy_image0029,TestHardDataset,Unseen,case100,case100,29,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0029.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0029.png,364391,3871,SUNSEG_case100,case100,15,0f059fb30d59cdff8e3f22c0280e0198eb0e2f6d01024bb081c5a65154ca1c91,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0031,TestHardDataset,Unseen,case100,case100,31,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0031.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0031.png,312826,4010,SUNSEG_case100,case100,16,104675f1dbedd719ec7e39e18f731bbecccfc68cabf6ffff97c47235c83f0a84,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0013,TestHardDataset,Unseen,case100,case100,13,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0013.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0013.png,319397,3997,SUNSEG_case100,case100,17,114bb5069d64155f6a5bfad6e71576bfb012a58a6c4a3bd4e2034c25c4b32e98,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0008,TestHardDataset,Unseen,case100,case100,8,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0008.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0008.png,352145,4062,SUNSEG_case100,case100,18,1331239c74ef2201301930628ced65c9f4aafc4bcbe5e044d8e7ab333ecfbbd3,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a3_ayy_image0028,TestHardDataset,Unseen,case100,case100,28,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0028.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0028.png,327685,3985,SUNSEG_case100,case100,19,13740120ca7346972c1e0ceb230ff8e7b2cc307a8cd984b47ed3026ff9f94739,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testharddataset/unseen/case100/case_m_20181106093315_0u62372110682814_1_007_001-1_a1_ayy_image0006,TestHardDataset,Unseen,case100,case100,6,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/Frame/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0006.jpg,SUN-SEG-FinalData-v20251212/TestHardDataset/Unseen/GT/case100/case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0006.png,339735,3731,SUNSEG_case100,case100,20,13e25c42cde82330972acb0cf86446b21d7bd7660116adc9471c4f6d6e225058,Hard-Unseen,SELECTED_PENDING_CONTAMINATION
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_001-1_a42_ayy_image0022,TestEasyDataset,Unseen,case11,case11,22,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0022.jpg,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/GT/case11/case_M_20181120115731_0U62368112064030_1_004_001-1_a42_ayy_image0022.png,410605,4134,SUNSEG_case11,case11,1,0295b0103bfc32bb2330012c35ca33bb1af20620b490f08e04e59181052dcc22,Easy-Unseen,SELECTED_PENDING_CONTAMINATION
testeasydataset/unseen/case11/case_m_20181120115731_0u62368112064030_1_004_002-1_a16_ayy_image0016,TestEasyDataset,Unseen,case11,case11,16,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/Frame/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0016.jpg,SUN-SEG-FinalData-v20251212/TestEasyDataset/Unseen/GT/case11/case_M_20181120115731_0U62368112064030_1_004_002-1_a16_ayy_image0016.png,304916,4047,SUNSEG_case11,case11,2,05c272ca6138c23a080c3d64ae86f7a385ac9c79aee06aa785ec91b7719191f7,Easy-Unseen,SELECTED_PENDING_CONTAMINATION
