external_case_id,center,sample_id,image_path,gt_path,image_sha256,gt_sha256,pair_key,readable,image_width,image_height,image_mode,gt_width,gt_height,gt_mode,same_size,error,exact_duplicate_of_neopolyp,duplicate_within_polypgen_static
polypgen_static_0010,C1,polypgen_c1_125olcv1_100h0003,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\125OLCV1_100H0003.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\125OLCV1_100H0003_mask.jpg,44adbce8890f4baf0671b93e04bd7060aa62c6ebcf46483ff2cbe5a56a6b408f,04b722ef6d008b74beabc15e04e664a2962d2022bc75dee65a3da1c87f53adc4,125olcv1_100h0003,True,1232,1048,RGB,1232,1048,L,True,,False,False
polypgen_static_0011,C1,polypgen_c1_127olcv1_100h0001,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\127OLCV1_100H0001.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\127OLCV1_100H0001_mask.jpg,b23cfec3bb50a9f836408feb17a80fa498e0c959e71440a5ac8a197fb22e4dc3,403587df005edd548cac564e151a5a1249b854f8d6b0625ef2302357d16f2b9b,127olcv1_100h0001,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0012,C1,polypgen_c1_130olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\130OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\130OLCV1_100H0002_mask.jpg,a4ab7117e61c59b7b79b4911b6ce2e6c67623ec49c730f757fad20ebd47bc614,36afc9f8bee4faf1bc044404ca88a5583fa8715353bb06a72765c530cb91a307,130olcv1_100h0002,True,1350,1080,RGB,1350,1080,L,True,,False,False
polypgen_static_0013,C1,polypgen_c1_133olcv1_100h0006,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\133OLCV1_100H0006.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\133OLCV1_100H0006_mask.jpg,8c639c4976118a653839630712936b8dbf67d4486258e34c81b2611f353a8489,6ac64685a09b19eb1dc5c19c8092f0f9dc761ae443a0f72be51fc6d135a94a14,133olcv1_100h0006,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0014,C1,polypgen_c1_133olcv1_100h0013,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\133OLCV1_100H0013.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\133OLCV1_100H0013_mask.jpg,45653a23b5526b725a8efa37a494ded849db6288e3284b0e495e6aaea8babc39,95de6e28ad0f9e9e62f8cff3ecf16d7c1deb651405fc3652962c4a7682a17011,133olcv1_100h0013,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0015,C1,polypgen_c1_134olcv1_100h0010,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\134OLCV1_100H0010.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\134OLCV1_100H0010_mask.jpg,326acfd23314f84fdd4fba65ddff49969798c06dcb2369911c9ddaac5f02682f,b3abd261f703f09b76c127029d56c3b2e70cddb6c3141a92aea725bad1168ea1,134olcv1_100h0010,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0016,C1,polypgen_c1_136olcv1_100s0005,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\136OLCV1_100S0005.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\136OLCV1_100S0005_mask.jpg,384a3b2635679295d7eda1c765348e92dcab4870a983da4909df7c96eedc5e38,fe26ddfa970ffdbb6f13ddf340b019ce2eb9a1240a4e44a7ac34f10a4945c02c,136olcv1_100s0005,True,628,513,RGB,628,513,RGB,True,,False,False
polypgen_static_0017,C1,polypgen_c1_143olcv1_100h0018,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\143OLCV1_100H0018.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\143OLCV1_100H0018_mask.jpg,0c5f43339d04faaa281dabab28a30e10e2af9a0aabf9193c231b1772ed3694ab,824d056e0560bde1640d79553449e226383b24e2dfe4f1f4f5796555ec61a868,143olcv1_100h0018,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0018,C1,polypgen_c1_144olcv1_100h0022,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\144OLCV1_100H0022.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\144OLCV1_100H0022_mask.jpg,048cc1b33bc227a1bf12d14a4b1afa509747efb8636c196af2e4b5458aa0bcc2,7ccfaad2fab027f86d31e5c1e813fad3f9bf2784ad901a08c996a3e6edbacfd5,144olcv1_100h0022,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0019,C1,polypgen_c1_144olcv1_100h0024,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\144OLCV1_100H0024.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\144OLCV1_100H0024_mask.jpg,321fda06126d7258dc0c434648e36a6db0b8c9d59c6cd7c88e11a1f46d33c35e,4a9ca034813a8a5905529eef5fdcc7dff05ce82ec777623a586bb1c7132d3f92,144olcv1_100h0024,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0020,C1,polypgen_c1_148olcv1_100h0004,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\148OLCV1_100H0004.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\148OLCV1_100H0004_mask.jpg,1d06f6de647f6cfd920fb9e5bc960af9142e919d061553f99035d2b5f0c18424,4831724de36d015c892dc87dff416894ee0daef24cc4a397fa125b2a74f8dff8,148olcv1_100h0004,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0021,C1,polypgen_c1_150olcv1_100h0016,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\150OLCV1_100H0016.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\150OLCV1_100H0016_mask.jpg,05cf5e29adbeb8483872608332babcf969d6800cdd903da6173416b7c8f34618,e4e752b85926f395e6d41e2fbb3803e2da7cf8373612225b67c076faf9365eed,150olcv1_100h0016,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0022,C1,polypgen_c1_153olcv1_100h0010,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\153OLCV1_100H0010.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\153OLCV1_100H0010_mask.jpg,23814841717af8b71e2a9cd711e5afc0ccdf167d295ebcafbe1dbf2c839aad3e,5fe876271c48b24ec218532bc66410297384b1277044138c4bcd14cf87bfd3d3,153olcv1_100h0010,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0023,C1,polypgen_c1_155olcv1_100h0010,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\155OLCV1_100H0010.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\155OLCV1_100H0010_mask.jpg,2016b32421882ae3e993fcec69202e9feace5147c55c6bcc3a2bc4c9f6ea820e,6d5d936845e55ebb7011388d4ddf2f3b2be8c8a0bfb487015f9323720a61bd80,155olcv1_100h0010,True,1350,1080,RGB,1350,1080,L,True,,False,False
polypgen_static_0024,C1,polypgen_c1_155olcv1_100h0032,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\155OLCV1_100H0032.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\155OLCV1_100H0032_mask.jpg,3c6f4095bd7b5fa105a418c653c3b5edea0429ff00be27c57ddcc2b189a38fa8,e1fcaaf59184f9ead9afd59d207652576d798533c01da96988ef67bf60d805a2,155olcv1_100h0032,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0025,C1,polypgen_c1_156olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\156OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\156OLCV1_100H0002_mask.jpg,3d7c808fa4903cc25e11e934b2993d881374ae4f10b8b297be1b097efe676ff6,c6ba9e2ac2ab2bcd0303d5cc4005119871a9a1a68f6de1f6ce7533ce6d874761,156olcv1_100h0002,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0026,C1,polypgen_c1_161olcv1_100s0021,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\161OLCV1_100S0021.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\161OLCV1_100S0021_mask.jpg,a3314c240d165f3c33d65948b4879d7658e1801309049fb69b30f331de0b3996,187dd0fb6cb3e3a5dd1a7ac3d95f53727ddbc943d6059078eadafd80054de662,161olcv1_100s0021,True,628,513,RGB,628,513,RGB,True,,False,False
polypgen_static_0027,C1,polypgen_c1_163olcv1_100h0001,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\163OLCV1_100H0001.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\163OLCV1_100H0001_mask.jpg,b7ff21eae7adeda4caa372f563c7834636cb0c6f51799dba1fcd5b9c0d52adca,5879206ce5dcfd4727bfbd0966f63f2507f081a123054c8a866629ea5a10cde7,163olcv1_100h0001,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0028,C1,polypgen_c1_169olcv1_100h0007,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\169OLCV1_100H0007.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\169OLCV1_100H0007_mask.jpg,6567677d42a79e0d57ac6feb1aff82ccc2b138cc224c7c781b8a59e6d20c783a,fa16cf3e75ebe56a03b8424f19795f587c79f171c14837ccfede40afc9cb21c7,169olcv1_100h0007,True,1232,1048,RGB,1232,1048,L,True,,False,False
polypgen_static_0029,C1,polypgen_c1_171olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\171OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\171OLCV1_100H0002_mask.jpg,4bd81ef4217f1e11ed31b66772a584b397ff7b275d1ddfd9b82397a7ba08f4ee,2b367bcd47c0f359b3f1bcde051261476db1a33931913dfb0b6950273954974a,171olcv1_100h0002,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0030,C1,polypgen_c1_171olcv1_100h0003,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\171OLCV1_100H0003.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\171OLCV1_100H0003_mask.jpg,41d8bc3fa4dcb548b811872f5d4c15ad240779f9a0b04cbf4fe89b84b1339ea8,325b04ed13886572c49d1a28de6f99a8c3fa14118dea0dfe61647749c3d093e5,171olcv1_100h0003,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0031,C1,polypgen_c1_171olcv1_100h0004,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\171OLCV1_100H0004.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\171OLCV1_100H0004_mask.jpg,4420ff32f1ccd9f07d0c15fd9cf0167ca37e481010999fdf67584bb9999592c0,a0724290c2e8e548fab93ab4bdc05b98529f2ad9109875265590cf77e7982805,171olcv1_100h0004,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0032,C1,polypgen_c1_174olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\174OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\174OLCV1_100H0002_mask.jpg,fd80a043a1fc4ec3b56b88ceba67979b28d565033c71eceeb3f21bd535965852,d529d2fa0338f31c6415c9e8c216ee692d6f1a2f2a85d2b431e950ae4fa2c7a5,174olcv1_100h0002,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0033,C1,polypgen_c1_175olcv1_100h0011,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\175OLCV1_100H0011.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\175OLCV1_100H0011_mask.jpg,f24c48fbf83524e552bc61b58f9a0ae2756c5e8e2f32a71b249cf2d23835522a,312680b29d270ff39aa605224aaa325163f882003718c94aa6dc7a26245a74b2,175olcv1_100h0011,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0034,C1,polypgen_c1_175olcv1_100h0099,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\175OLCV1_100H0099.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\175OLCV1_100H0099_mask.jpg,908f6f6ad43b083dca918fb8857e66bae4344e0b7a4a7d6aec87ab76a0f03efc,8ab9a212244fd09bf972084ce893481e0f77e4d9f533fa9c4a661f7a1f88e225,175olcv1_100h0099,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0035,C1,polypgen_c1_176olcv1_100h0002,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0002.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0002_mask.jpg,e452d7965866499d12bcc681cff79afb6fd0b45fe47e09ec9999aef72d342d52,db7fedf6bc9b74ea6285993188f6d3f7365528e4c2e26dcd19d8cf22873d9782,176olcv1_100h0002,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0036,C1,polypgen_c1_176olcv1_100h0089,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0089.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0089_mask.jpg,66735c407f42c9b922c5cfff6f29e722fd75d4b47c8ccf599850fb8e7e204ae1,5c1ceffc4d20dd614678185c06b0a992202ec20f28b7fe66739689e1dfcf1fe2,176olcv1_100h0089,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0037,C1,polypgen_c1_176olcv1_100h0126,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0126.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0126_mask.jpg,13d7d65ce60ab03f28e37e95241c28b12b1e3d079812265e8b6446a722ef79df,62fc451020d50c53db02aa64ac0dd5e9e8715ae3adeca902c3858da450145f07,176olcv1_100h0126,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0038,C1,polypgen_c1_176olcv1_100h0160,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0160.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0160_mask.jpg,ee2b48fe0ed5190009e4a96125aad3f64e47cd3c2a1bdb4ef3282f0057fac499,d7103e04962a034d25149748c0caf54d0011b94e4689d510e128dabe42065f13,176olcv1_100h0160,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0039,C1,polypgen_c1_176olcv1_100h0255,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0255.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0255_mask.jpg,93836c111ac8e702d34b8f4eed11faff47103b5ee1a6bcb357b2280631f376f6,baf97918f6af2d923354c48d9a8be943f0d5c429ea3216a761522a7ed31989d1,176olcv1_100h0255,True,1232,1048,RGB,1232,1048,L,True,,False,False
polypgen_static_0040,C1,polypgen_c1_176olcv1_100h0290,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0290.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0290_mask.jpg,9e51b6b049d69e7299cc231cf46e664d2893933badf0997f70a01e4f21999058,c2f9f1721cc43af94c8ca1b966cb700eba390c508e53b8cb3c94efd304d6ddc8,176olcv1_100h0290,True,1350,1080,RGB,1350,1080,RGB,True,,False,False
polypgen_static_0041,C1,polypgen_c1_176olcv1_100h0470,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0470.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0470_mask.jpg,6e6ef6213c1b151484af4d3e814c8d6a92acba3c1a0194b06edcb03941f611dd,009558cdf218d03e46d84af57f9e045e2bc94e8ace191bcb19f97659720a7e48,176olcv1_100h0470,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0042,C1,polypgen_c1_176olcv1_100h0537,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0537.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0537_mask.jpg,f9af33bc07e23ea9bd87d97c76b26bda1cec5c4fb5396c164cc19a368627c3dd,db1dd7fa8a465174021fedcd887f9e4cbd1341654a3828616b7ff1b996dea480,176olcv1_100h0537,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0043,C1,polypgen_c1_176olcv1_100h0587,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0587.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0587_mask.jpg,6af09c2224a42fa4c94d0420aac0a5b5b009e1d978d045a9d154a487dac23d13,c82910a2bbc1a762dfa94ab51512b06ecadd037ab60861e066c30ba00dd4f899,176olcv1_100h0587,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
polypgen_static_0044,C1,polypgen_c1_176olcv1_100h0730,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\images_C1\176OLCV1_100H0730.jpg,F:\MEDSEG_SAFETTA\data\external\PolypGen\PolypGen2021_MultiCenterData_v3\data_C1\masks_C1\176OLCV1_100H0730_mask.jpg,9000cc434eb93b9ff9505ccad3307d4c089f3a3cb4bddb903cd27bda69043e0c,0619a086cc3b83221e6bfdccaf510c7fd69cd6f99efa41ba4e7c4ea65dddbde7,176olcv1_100h0730,True,1232,1048,RGB,1232,1048,RGB,True,,False,False
