dataset,path,size_bytes,size_human,route_priority
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best.pt,158866260,151.51 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best.pt,158866260,151.51 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best.pt,158866260,151.51 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best.pt,158866260,151.51 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best.pt,158866260,151.51 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/last.pt,93274894,88.95 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/last.pt,93274254,88.95 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/last.pt,93273806,88.95 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/last.pt,93273422,88.95 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/last.pt,93273102,88.95 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/last.pt,44806345,42.73 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/last.pt,44806281,42.73 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/last.pt,44806217,42.73 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/last.pt,44805833,42.73 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/last.pt,44805385,42.73 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best.pt,31107416,29.67 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best.pt,31107416,29.67 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best.pt,31107416,29.67 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best.pt,31107416,29.67 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best.pt,31107416,29.67 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best.pt,14929494,14.24 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best.pt,14929494,14.24 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best.pt,14929494,14.24 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best.pt,14929494,14.24 MiB,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best.pt,14929494,14.24 MiB,100
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best.pt,14929494,14.24 MiB,100
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best.pt,14929494,14.24 MiB,100
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best.pt,14929494,14.24 MiB,100
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best.pt,14929494,14.24 MiB,100
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best.pt,14929494,14.24 MiB,100
Prostate158,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/last.pt,476085211,454.03 MiB,98
Prostate158,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/DeepLabV3_R50/final.pt,158867074,151.51 MiB,98
Prostate158,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/last.pt,44809092,42.73 MiB,98
Prostate158,outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,14930090,14.24 MiB,98
Prostate158,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM4D_final_all_source_segmentation_models_lock_fix2_v1/models/SegFormer_B0/final.pt,14930090,14.24 MiB,98
