dataset,path,member,size_bytes,size_human,shape,dtype,header_status,signal_class,route_priority
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_oof_prob_f16.npy,,179165312,170.87 MiB,"[723, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_prob_f16.npy,,178174080,169.92 MiB,"[719, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_prob_f16.npy,,178174080,169.92 MiB,"[719, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_oof_prob_f16.npy,,178174080,169.92 MiB,"[719, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_prob_f16.npy,,177678464,169.45 MiB,"[717, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_prob_f16.npy,,177678464,169.45 MiB,"[717, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_oof_prob_f16.npy,,177678464,169.45 MiB,"[717, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_prob_f16.npy,,175696000,167.56 MiB,"[709, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_oof_prob_f16.npy,,175696000,167.56 MiB,"[709, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_oof_prob_f16.npy,,175696000,167.56 MiB,"[709, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_prob_f16.npy,,169748608,161.88 MiB,"[685, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_oof_prob_f16.npy,,169748608,161.88 MiB,"[685, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_oof_prob_f16.npy,,169748608,161.88 MiB,"[685, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB_CANDIDATE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_mask_u8.npy,,89582720,85.43 MiB,"[723, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_oof_mask_u8.npy,,89582720,85.43 MiB,"[723, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_oof_mask_u8.npy,,89582720,85.43 MiB,"[723, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_mask_u8.npy,,89087104,84.96 MiB,"[719, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_mask_u8.npy,,89087104,84.96 MiB,"[719, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_oof_mask_u8.npy,,89087104,84.96 MiB,"[719, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_mask_u8.npy,,88839296,84.72 MiB,"[717, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_mask_u8.npy,,88839296,84.72 MiB,"[717, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_oof_mask_u8.npy,,88839296,84.72 MiB,"[717, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_mask_u8.npy,,87848064,83.78 MiB,"[709, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_oof_mask_u8.npy,,87848064,83.78 MiB,"[709, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_oof_mask_u8.npy,,87848064,83.78 MiB,"[709, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_mask_u8.npy,,84874368,80.94 MiB,"[685, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_oof_mask_u8.npy,,84874368,80.94 MiB,"[685, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
Prostate158,outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_oof_mask_u8.npy,,84874368,80.94 MiB,"[685, 352, 352]",uint8,OK,HARD_OR_MASK_LIKE,100
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,foreground_patch_mean.npy,38542597,36.76 MiB,"[13788, 768]",float16,OK,UNKNOWN_ARRAY,98
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,background_patch_mean.npy,38542597,36.76 MiB,"[13788, 768]",float16,OK,UNKNOWN_ARRAY,98
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,38542597,36.76 MiB,"[13788, 256]",float16,OK,HARD_OR_MASK_LIKE,98
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,m2.npy,38542597,36.76 MiB,"[13788, 2]",float64,OK,UNKNOWN_ARRAY,98
Prostate158,outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_CONDITIONED_DINO_M2_FEATURES_F16.npy,,32787212,31.27 MiB,"[3, 3553, 1538]",float16,OK,UNKNOWN_HIGH_DIM_ARRAY,0
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,foreground_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,background_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,23931016,22.82 MiB,"[8820, 256]",float16,OK,HARD_OR_MASK_LIKE,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,m2.npy,23931016,22.82 MiB,"[8820, 2]",float64,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,foreground_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,background_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,23931016,22.82 MiB,"[8820, 256]",float16,OK,HARD_OR_MASK_LIKE,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,m2.npy,23931016,22.82 MiB,"[8820, 2]",float64,OK,UNKNOWN_ARRAY,99
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_pca64_features.npz,pca64.npy,3828357,3.65 MiB,"[13788, 64]",float64,OK,UNKNOWN_ARRAY,98
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_pca64_features.npz,pca64.npy,3828357,3.65 MiB,"[13788, 64]",float64,OK,UNKNOWN_ARRAY,98
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_pca64_features.npz,pca64.npy,2450119,2.34 MiB,"[8820, 64]",float64,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_pca64_features.npz,pca64.npy,2450119,2.34 MiB,"[8820, 64]",float64,OK,UNKNOWN_ARRAY,99
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,source_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_OR_MASK_LIKE,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,tent1_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_OR_MASK_LIKE,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,pl_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_OR_MASK_LIKE,100
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,source_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,a1_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,source_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,a1_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,source_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,a1_masks_packed.npy,1258667,1.20 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_predictions.npz,source_masks_packed.npy,1249148,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_predictions.npz,a1_masks_packed.npy,1249148,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_predictions.npz,source_masks_packed.npy,1249148,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_predictions.npz,a1_masks_packed.npy,1249148,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,source_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,a1_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,source_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,a1_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,source_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,a1_masks_packed.npy,1246263,1.19 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_predictions.npz,source_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_predictions.npz,a1_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_predictions.npz,source_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_predictions.npz,a1_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_predictions.npz,source_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_predictions.npz,a1_masks_packed.npy,1237332,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_predictions.npz,source_masks_packed.npy,1232565,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_predictions.npz,a1_masks_packed.npy,1232565,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_predictions.npz,source_masks_packed.npy,1232565,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_predictions.npz,a1_masks_packed.npy,1232565,1.18 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260817_predictions.npz,source_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260817_predictions.npz,a1_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260817_predictions.npz,source_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260817_predictions.npz,a1_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260817_predictions.npz,source_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260817_predictions.npz,a1_masks_packed.npy,1225773,1.17 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260818_predictions.npz,source_masks_packed.npy,1216590,1.16 MiB,"[1532, 15488]",uint8,OK,HARD_OR_MASK_LIKE,99
