dataset,path,member,size_bytes,size_human,shape,dtype,header_status,signal_class,priority
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,external_ids.npy,467247880,445.60 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,centers.npy,467247880,445.60 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,image_members.npy,467247880,445.60 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,architecture.npy,467247880,445.60 MiB,[1],<U7,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,seed.npy,467247880,445.60 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,gate_artifact_sha256.npy,467247880,445.60 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,protocol_sha256.npy,467247880,445.60 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,archive_sha256.npy,467247880,445.60 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260817/locked_logits.npz,eligibility_manifest_sha256.npy,467247880,445.60 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,source_logits.npy,458981429,437.72 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,tent_logits.npy,458981429,437.72 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,external_ids.npy,458981429,437.72 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,centers.npy,458981429,437.72 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,image_members.npy,458981429,437.72 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,architecture.npy,458981429,437.72 MiB,[1],<U7,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,seed.npy,458981429,437.72 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,gate_artifact_sha256.npy,458981429,437.72 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,protocol_sha256.npy,458981429,437.72 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,archive_sha256.npy,458981429,437.72 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260819/locked_logits.npz,eligibility_manifest_sha256.npy,458981429,437.72 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,source_logits.npy,445600607,424.96 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,tent_logits.npy,445600607,424.96 MiB,"[1537, 352, 352]",float16,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,external_ids.npy,445600607,424.96 MiB,[1537],<U36,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,centers.npy,445600607,424.96 MiB,[1537],<U2,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,image_members.npy,445600607,424.96 MiB,[1537],<U82,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,architecture.npy,445600607,424.96 MiB,[1],<U7,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,seed.npy,445600607,424.96 MiB,[1],int64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,gate_artifact_sha256.npy,445600607,424.96 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,protocol_sha256.npy,445600607,424.96 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,archive_sha256.npy,445600607,424.96 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PolypGen,outputs/S06_C_polypgen_dual_backbone_no_label_lock_v1_fix1/units/deeplab_seed20260818/locked_logits.npz,eligibility_manifest_sha256.npy,445600607,424.96 MiB,[1],<U64,OK,SOFT_LOGIT_OR_PROB,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/target_image_only_cache/promise12_images_f16.npy,,341231744,325.42 MiB,"[1377, 352, 352]",float16,OK,UNKNOWN_ARRAY,100
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,foreground_patch_mean.npy,38542597,36.76 MiB,"[13788, 768]",float16,OK,UNKNOWN_ARRAY,97
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,background_patch_mean.npy,38542597,36.76 MiB,"[13788, 768]",float16,OK,UNKNOWN_ARRAY,97
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,38542597,36.76 MiB,"[13788, 256]",float16,OK,HARD_MASK,97
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,m2.npy,38542597,36.76 MiB,"[13788, 2]",float64,OK,UNKNOWN_ARRAY,97
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,foreground_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,background_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,23931016,22.82 MiB,"[8820, 256]",float16,OK,HARD_MASK,99
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,m2.npy,23931016,22.82 MiB,"[8820, 2]",float64,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,foreground_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,background_patch_mean.npy,23931016,22.82 MiB,"[8820, 768]",float16,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,source_mask_patch_occupancy.npy,23931016,22.82 MiB,"[8820, 256]",float16,OK,HARD_MASK,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,m2.npy,23931016,22.82 MiB,"[8820, 2]",float64,OK,UNKNOWN_ARRAY,99
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/CM6/PROMISE12_GT_MASKS_PACKBITS.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,0
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/source_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/tent1_masks_packbits.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/provenance/project_artifacts/outputs/Q1_SAFETTA_numeric_replay_v1_fix4/CM6/PROMISE12_GT_MASKS_PACKBITS.npy,,21327104,20.34 MiB,"[1377, 15488]",uint8,OK,HARD_MASK,0
PROMISE12,outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_TARGET_RAW_SAFETY_FEATURES_F16.npy,,12707084,12.12 MiB,"[3, 1377, 1538]",float16,OK,UNKNOWN_ARRAY,100
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_TARGET_RAW_SAFETY_FEATURES_F16.npy,,12707084,12.12 MiB,"[3, 1377, 1538]",float16,OK,UNKNOWN_ARRAY,100
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_SOURCE_DINO_CLS_F16.npy,,5457536,5.20 MiB,"[3553, 768]",float16,OK,UNKNOWN_ARRAY,0
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_pca64_features.npz,pca64.npy,3828357,3.65 MiB,"[13788, 64]",float64,OK,UNKNOWN_ARRAY,97
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_pca64_features.npz,pca64.npy,3828357,3.65 MiB,"[13788, 64]",float64,OK,UNKNOWN_ARRAY,97
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_pca64_features.npz,pca64.npy,2450119,2.34 MiB,"[8820, 64]",float64,OK,UNKNOWN_ARRAY,99
SUNSEG,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_pca64_features.npz,pca64.npy,2450119,2.34 MiB,"[8820, 64]",float64,OK,UNKNOWN_ARRAY,99
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PROMISE12,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_TARGET_DINO_CLS_F16.npy,,2115200,2.02 MiB,"[1377, 768]",float16,OK,UNKNOWN_ARRAY,0
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,98
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,99
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,source_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,99
PolypGen,release/SafeTTA_repro_release_candidate_v1/project_artifacts/outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,a1_masks_packed.npy,1382837,1.32 MiB,"[1532, 15488]",uint8,OK,HARD_MASK,99
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,source_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_MASK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,tent1_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_MASK,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,pl_masks_packed.npy,1363026,1.30 MiB,"[980, 15488]",uint8,OK,HARD_MASK,100
