dataset,source_manifest,model_family,model_state_id,training_seed,checkpoint_claim,checkpoint_sha256_claim,resolved_path,resolution_method,resolved_sha256,sha256_match,resolved
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260819,20260819,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260820,20260820,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260820\best_model_state.pt,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/best_model_state.pt,EXACT_PATH,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260821,20260821,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260821\best_model_state.pt,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/best_model_state.pt,EXACT_PATH,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260822,20260822,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260822\best_model_state.pt,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/best_model_state.pt,EXACT_PATH,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_index.csv,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_state_lock.json,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260818_index.csv,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260818_state_lock.json,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_index.csv,DeepLabV3-R50,DeepLabV3-R50::20260819,20260819,,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_state_lock.json,DeepLabV3-R50,DeepLabV3-R50::20260819,20260819,,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260817_index.csv,PraNet,PraNet::20260817,20260817,,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260817_state_lock.json,PraNet,PraNet::20260817,20260817,,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_index.csv,PraNet,PraNet::20260818,20260818,,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_state_lock.json,PraNet,PraNet::20260818,20260818,,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_index.csv,PraNet,PraNet::20260819,20260819,,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_state_lock.json,PraNet,PraNet::20260819,20260819,,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,PraNet,PraNet::20260817,20260817,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,PraNet,PraNet::20260818,20260818,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,PraNet,PraNet::20260819,20260819,F:\MEDSEG_SAFETTA\outputs\S01_B_pranet_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260817_v1\checkpoints\best_source_val_dice.pt,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260818_v1\checkpoints\best_source_val_dice.pt,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260819,20260819,F:\MEDSEG_SAFETTA\outputs\S05_B_deeplabv3_r50_source_only_seed20260819_v1\checkpoints\best_source_val_dice.pt,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,EXACT_PATH,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260820,20260820,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260820\best_model_state.pt,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/best_model_state.pt,EXACT_PATH,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260821,20260821,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260821\best_model_state.pt,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/best_model_state.pt,EXACT_PATH,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/checkpoint_manifest.csv,SegFormer-B0,SegFormer-B0::20260822,20260822,F:\MEDSEG_SAFETTA\outputs\Q1_R02_segformer_b0_three_seed_source_training_v1_fix7\seed_20260822\best_model_state.pt,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/best_model_state.pt,EXACT_PATH,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,PraNet,PraNet::20260817,20260817,,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,outputs/S01_B_pranet_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,ef623c0f1207bab02377ec17932db43fe2fd1843dca858cc79ef87ead29b975a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,PraNet,PraNet::20260818,20260818,,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,outputs/S01_B_pranet_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,e56dd8ba4b5fc7785fedf3918c275427178fadb5f035b47087d48cde41ccec22,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,PraNet,PraNet::20260819,20260819,,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,outputs/S01_B_pranet_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,f8cad00bbc9bbbff04c9a29547bd2a5f3beb97d53980c269cf4b7d2c30130b72,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,DeepLabV3-R50,DeepLabV3-R50::20260819,20260819,,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,outputs/S05_B_deeplabv3_r50_source_only_seed20260819_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,66aeae338d350db5aa878bcaab2e68bbe98eec8e626e28a1bb02b6708fa358eb,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,SegFormer-B0,SegFormer-B0::20260820,20260820,,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260820/best_model_state.pt,SHA256_MATCH,9dae2ae907b193ea36c2bccc8e376ddbad1699ba27ae0769cf40bcba13e95605,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,SegFormer-B0,SegFormer-B0::20260821,20260821,,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260821/best_model_state.pt,SHA256_MATCH,ad75290168eab7d116aa3de61b3eafc1e986f11fc0bbfa4a6108abbf669a258d,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/model_case_prediction_manifest.csv,SegFormer-B0,SegFormer-B0::20260822,20260822,,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,outputs/Q1_R02_segformer_b0_three_seed_source_training_v1_fix7/seed_20260822/best_model_state.pt,SHA256_MATCH,ea0b3881373e9f966475a082490fabe4b0acae81179b8596c48a06ee2661a34a,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_index.csv,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_state_lock.json,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,outputs/S05_B_deeplabv3_r50_source_only_seed20260817_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,True,True
PolypGen,outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260818_index.csv,DeepLabV3-R50,DeepLabV3-R50::20260818,20260818,,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,outputs/S05_B_deeplabv3_r50_source_only_seed20260818_v1/checkpoints/best_source_val_dice.pt,SHA256_MATCH,d4ede45d5b30f62fdbc92cd9aa8fc84e0d5a52073d5ef2c3ac36baa09a56eb25,True,True
