dataset,path,rows,columns,priority
PolypGen,outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_FROZEN_POLYPGEN_SAFETY_SCORES.csv,13788,feature_row|sample_id|center|original_polypgen_sample_id|image_path|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|state_prediction_npz|state_row_index|morph_fg_fraction|morph_boundary_density|frozen_safety_probability|frozen_operating_threshold|frozen_risk_flag,97
SUNSEG,outputs/Q1_R14B2_sunseg_deep_schema_pairing_identity_audit_fix2_v1/R14B2_fix2_real_frame_gt_pairs.csv,49136,pair_key|dataset|visibility|clip_id|physical_case_id|frame_index|frame_member|gt_member|frame_size|gt_size,0
SUNSEG,outputs/Q1_R14B3_sunseg_unseen_case_balanced_candidate_lock_fix1_v1/R14B3_SUNSEG_PRECONTAMINATION_CANDIDATE_MANIFEST.csv,980,pair_key|dataset|visibility|clip_id|physical_case_id|frame_index|frame_member|gt_member|frame_size|gt_size|external_case_id|cluster_id|sampling_rank_within_case|sampling_hash|source_split_label|precontamination_status,0
SUNSEG,outputs/Q1_R14B4B1_neopolyp_pixel_hash_recipe_audit_fix1_v1/R14B4B1_NEOPOLYP_PIXEL_HASH_PER_IMAGE_AUDIT.csv,1000,sample_id|image_path|stored_pixel_sha256|matched_recipe_count|matched_recipes,0
SUNSEG,outputs/Q1_R14B4B3_neopolyp_exact_historical_hash_recipe_verification_fix1_v1/R14B4B3_NEOPOLYP_EXACT_HISTORICAL_HASH_VERIFICATION.csv,1000,sample_id|image_path|width|height|raw_sha_match|historical_pixel_sha_match|computed_historical_pixel_sha256|stored_image_rgb_pixel_sha256,0
SUNSEG,outputs/Q1_R14B4B_sunseg_selected_rgb_contamination_audit_fix3_v1/R14B4B_FIX3_FINAL_CONFIRMATORY_MANIFEST.csv,980,pair_key|dataset|visibility|clip_id|physical_case_id|frame_index|frame_member|gt_member|frame_size|gt_size|external_case_id|cluster_id|sampling_rank_within_case|sampling_hash|source_split_label|precontamination_status,0
SUNSEG,outputs/Q1_R14B4B_sunseg_selected_rgb_contamination_audit_fix3_v1/R14B4B_FIX3_SUN_SELECTED_RGB_HASHES.csv,980,pair_key|cluster_id|physical_case_id|clip_id|source_split_label|frame_member|width|height|file_sha256|common_rgb_sha256|dhash64_hex,0
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/R14C1_SUNSEG_MODEL_FRAME_PREDICTION_MANIFEST.csv,8820,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260817_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260818_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/deeplabv3_r50_seed20260819_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260817_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260818_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260820_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260821_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/segformer_b0_seed20260822_source_tent1_pl_index.csv,980,row_index|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|source_foreground_pixels|tent1_foreground_pixels|source_tent1_changed_pixels|pl_foreground_pixels|source_pl_changed_pixels|confident_pixels|total_pixels|confident_fraction|pl_loss|pl_parameter_max_abs_delta|pl_buffer_max_abs_delta_after_adaptation|pl_updated|state_prediction_npz_relpath|state_index_csv_relpath|state_lock_json_relpath,100
SUNSEG,outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_FROZEN_SUNSEG_SAFETY_SCORES.csv,8820,feature_row|sample_id|external_case_id|cluster_id|clip_id|source_split_label|frame_member|image_raw_sha256|model_family|model_state_id|training_seed|checkpoint_sha256|state_prediction_npz_relpath|state_row_index|morph_fg_fraction|morph_boundary_density|frozen_safety_probability|frozen_operating_threshold|frozen_risk_flag,99
PolypGen,outputs/Q1_SAFETTA_numeric_replay_v1_fix4/R10L3C/R10L3C_polypgen_gt_decode_audit.csv,1532,sample_id|center|original_polypgen_sample_id|gt_path|gt_sha256|native_width|native_height|native_gray_min|native_gray_max|native_unique_gray_levels|native_foreground_pixels_gt127|resized_foreground_pixels|decode_rule,0
