path,datasets,signal_type,size_bytes,size_human,format,shape,dtype,keys,member_meta,status
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,179165312,170.87 MiB,npy,"[723, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,179165312,170.87 MiB,npy,"[723, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,178174080,169.92 MiB,npy,"[719, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,178174080,169.92 MiB,npy,"[719, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,178174080,169.92 MiB,npy,"[719, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,177678464,169.45 MiB,npy,"[717, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,177678464,169.45 MiB,npy,"[717, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,177678464,169.45 MiB,npy,"[717, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,175696000,167.56 MiB,npy,"[709, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,175696000,167.56 MiB,npy,"[709, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,175696000,167.56 MiB,npy,"[709, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,169748608,161.88 MiB,npy,"[685, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,169748608,161.88 MiB,npy,"[685, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_oof_prob_f16.npy,Prostate158,SOFT_CANDIDATE,169748608,161.88 MiB,npy,"[685, 352, 352]",float16,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold2/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89582720,85.43 MiB,npy,"[723, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold2/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89582720,85.43 MiB,npy,"[723, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold2/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89582720,85.43 MiB,npy,"[723, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold0/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89087104,84.96 MiB,npy,"[719, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold0/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89087104,84.96 MiB,npy,"[719, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold0/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,89087104,84.96 MiB,npy,"[719, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold1/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,88839296,84.72 MiB,npy,"[717, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold1/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,88839296,84.72 MiB,npy,"[717, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold1/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,88839296,84.72 MiB,npy,"[717, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold3/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,87848064,83.78 MiB,npy,"[709, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold3/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,87848064,83.78 MiB,npy,"[709, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold3/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,87848064,83.78 MiB,npy,"[709, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/DeepLabV3_R50/fold4/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,84874368,80.94 MiB,npy,"[685, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/SegFormer_B0/fold4/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,84874368,80.94 MiB,npy,"[685, 352, 352]",uint8,,,OK
outputs/Q1X_CM3_source_oof_segmentation_training_and_prediction_lock_fix3_v1/models/UNet/fold4/best_oof_mask_u8.npy,Prostate158,HARD_OR_UNKNOWN,84874368,80.94 MiB,npy,"[685, 352, 352]",uint8,,,OK
outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_conditioned_dino_features.npz,PolypGen,UNKNOWN_ARRAY,38542597,36.76 MiB,npz,,,foreground_patch_mean|background_patch_mean|source_mask_patch_occupancy|m2,"foreground_patch_mean:shape=(13788, 768),dtype=float16 | background_patch_mean:shape=(13788, 768),dtype=float16 | source_mask_patch_occupancy:shape=(13788, 256),dtype=float16 | m2:shape=(13788, 2),dtype=float64",OK
outputs/Q1X_CM4B_mri_source_prediction_conditioned_safety_grouped_oof_fix1_v1/CM4B_CONDITIONED_DINO_M2_FEATURES_F16.npy,Prostate158,HARD_OR_UNKNOWN,32787212,31.27 MiB,npy,"[3, 3553, 1538]",float16,,,OK
outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_conditioned_dino_features.npz,SUNSEG,UNKNOWN_ARRAY,23931016,22.82 MiB,npz,,,foreground_patch_mean|background_patch_mean|source_mask_patch_occupancy|m2,"foreground_patch_mean:shape=(8820, 768),dtype=float16 | background_patch_mean:shape=(8820, 768),dtype=float16 | source_mask_patch_occupancy:shape=(8820, 256),dtype=float16 | m2:shape=(8820, 2),dtype=float64",OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/source_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/DeepLabV3_R50/tent1_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/source_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/SegFormer_B0/tent1_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/source_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/predictions/UNet/tent1_masks_packbits.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM6_promise12_gt_reveal_locked_policy_evaluation_fix1_v1/PROMISE12_GT_MASKS_PACKBITS.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1_SAFETTA_numeric_replay_v1_fix4/CM6/PROMISE12_GT_MASKS_PACKBITS.npy,PROMISE12,HARD_OR_UNKNOWN,21327104,20.34 MiB,npy,"[1377, 15488]",uint8,,,OK
outputs/Q1X_CM5A_promise12_gt_free_prediction_tent1_safety_scoring_lock_fix1_v1/CM5A_TARGET_RAW_SAFETY_FEATURES_F16.npy,PROMISE12,HARD_OR_UNKNOWN,12707084,12.12 MiB,npy,"[3, 1377, 1538]",float16,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/DeepLabV3_R50/fold2/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11197952,10.68 MiB,npy,"[723, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/SegFormer_B0/fold2/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11197952,10.68 MiB,npy,"[723, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/UNet/fold2/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11197952,10.68 MiB,npy,"[723, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/DeepLabV3_R50/fold0/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11136000,10.62 MiB,npy,"[719, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/SegFormer_B0/fold0/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11136000,10.62 MiB,npy,"[719, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/UNet/fold0/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11136000,10.62 MiB,npy,"[719, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/DeepLabV3_R50/fold1/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11105024,10.59 MiB,npy,"[717, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/SegFormer_B0/fold1/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11105024,10.59 MiB,npy,"[717, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/UNet/fold1/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,11105024,10.59 MiB,npy,"[717, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/DeepLabV3_R50/fold3/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10981120,10.47 MiB,npy,"[709, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/SegFormer_B0/fold3/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10981120,10.47 MiB,npy,"[709, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/UNet/fold3/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10981120,10.47 MiB,npy,"[709, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/DeepLabV3_R50/fold4/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10609408,10.12 MiB,npy,"[685, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/SegFormer_B0/fold4/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10609408,10.12 MiB,npy,"[685, 15488]",uint8,,,OK
outputs/Q1X_CM4A_source_oof_tent1_outcome_asset_lock_fix4_v1/families/UNet/fold4/tent1_masks_packbits.npy,Prostate158,HARD_OR_UNKNOWN,10609408,10.12 MiB,npy,"[685, 15488]",uint8,,,OK
outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_SOURCE_DINO_CLS_F16.npy,PROMISE12,UNKNOWN_ARRAY,5457536,5.20 MiB,npy,"[3553, 768]",float16,,,OK
outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_SOURCE_DINO_CLS_F16.npy,PROMISE12,UNKNOWN_ARRAY,5457536,5.20 MiB,npy,"[3553, 768]",float16,,,OK
outputs/Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1_v1/R10L3B_external_pca64_features.npz,PolypGen,UNKNOWN_ARRAY,3828357,3.65 MiB,npz,,,pca64,"pca64:shape=(13788, 64),dtype=float64",OK
outputs/Q1_R14C2B_sunseg_frozen_safety_score_lock_preGT_fix1_v1/R14C2B_SUN_pca64_features.npz,SUNSEG,UNKNOWN_ARRAY,2450119,2.34 MiB,npz,,,pca64,"pca64:shape=(8820, 64),dtype=float64",OK
outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix1_v1/CM7A_TARGET_DINO_CLS_F16.npy,PROMISE12,UNKNOWN_ARRAY,2115200,2.02 MiB,npy,"[1377, 768]",float16,,,OK
outputs/Q1X_CM7A_promise12_external_ranking_baseline_audit_fix2_v1/CM7A_TARGET_DINO_CLS_F16.npy,PROMISE12,UNKNOWN_ARRAY,2115200,2.02 MiB,npy,"[1377, 768]",float16,,,OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260819_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1382837,1.32 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260819_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1382837,1.32 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R14C1_sunseg_source_tent1_pl_prediction_lock_preGT_fix3_v1/state_predictions/pranet_seed20260819_source_tent1_pl_predictions.npz,SUNSEG,HARD_OR_UNKNOWN,1363026,1.30 MiB,npz,,,source_masks_packed|tent1_masks_packed|pl_masks_packed,"source_masks_packed:shape=(980, 15488),dtype=uint8 | tent1_masks_packed:shape=(980, 15488),dtype=uint8 | pl_masks_packed:shape=(980, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1258667,1.20 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260817_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1258667,1.20 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260820_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1249148,1.19 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1246263,1.19 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/deeplabv3_r50_seed20260819_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1246263,1.19 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1_v1__building/state_predictions/pranet_seed20260818_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1237332,1.18 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/pranet_seed20260818_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1237332,1.18 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
outputs/Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2_v1/state_predictions/segformer_b0_seed20260821_predictions.npz,PolypGen,HARD_OR_UNKNOWN,1232565,1.18 MiB,npz,,,source_masks_packed|a1_masks_packed,"source_masks_packed:shape=(1532, 15488),dtype=uint8 | a1_masks_packed:shape=(1532, 15488),dtype=uint8",OK
