sample_id,model_family,model_state_id,training_seed,checkpoint_sha256,state_row_index,source_foreground_pixels_manifest,source_prediction_npz,morph_fg_fraction,morph_boundary_density,morph_component_count_8,morph_largest_component_ratio,morph_largest_component_extent,morph_largest_component_eccentricity,morph_largest_component_circularity,morph_largest_component_perimeter_pixels,morph_largest_component_perimeter_area_ratio,morph_hole_count_4,morph_euler_number_8_4,harm_label,adaptation_outcome
NeoPolyp::025ba0e3b6d0bf0b5633059989805234,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,10,4002,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.03229919938016529,0.001384032634032634,1.0,1.0,0.7740812379110251,0.9255188200519872,0.42996661535742114,342.0,0.08545727136431784,1.0,0.0,1,HARM
NeoPolyp::02b296cc5cfd263f1f90be2879923502,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,11,35567,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.2870528796487603,0.007187257187257188,4.0,0.9962605786262547,0.4786955229526357,0.8736325653284149,0.1592786252708568,1672.0,0.0471863182254332,0.0,4.0,0,BENEFIT
NeoPolyp::0317371a966bf4b3466463a3c64db170,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,12,1824,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.014721074380165289,0.0007931882931882932,1.0,1.0,0.771247357293869,0.665380339748751,0.596653998349415,196.0,0.1074561403508772,0.0,1.0,0,NEUTRAL
NeoPolyp::033c03b0af70cc0f6d32b726342865f6,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,13,2385,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.019248773243801653,0.000955063455063455,1.0,1.0,0.6859361518550474,0.3210348609570521,0.5381139384380679,236.0,0.0989517819706499,0.0,1.0,0,NEUTRAL
NeoPolyp::0351267e98bd886544a2a98ee309ce76,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,14,0,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENEFIT
NeoPolyp::03983064a3eb4d49033c03b0af70cc0f,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,15,8086,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.06526020144628099,0.0021205646205646207,1.0,1.0,0.649165061014772,0.9116382431760606,0.3700675688614747,524.0,0.06480336383873361,0.0,1.0,0,BENEFIT
NeoPolyp::03d2cbbcfa4baf3866269959350e7998,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,16,3337,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.026932141012396695,0.0013516576016576018,1.0,1.0,0.48069720541630656,0.9000113728501707,0.37590070224924305,334.0,0.10008990110878034,0.0,1.0,0,NEUTRAL
NeoPolyp::03f909df7cd066b37f538abe9de67869,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,17,8237,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.06647888688016529,0.0017968142968142968,1.0,1.0,0.7363010637346921,0.5879773254592439,0.5250649031657155,444.0,0.053903120067985914,0.0,1.0,0,NEUTRAL
NeoPolyp::040781d54ffd6a8ee924dbd70f618d52,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,18,6171,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0498046875,0.0014973452473452473,1.0,1.0,0.7306417238929671,0.7423464204545036,0.5664504971600471,370.0,0.059957867444498464,0.0,1.0,0,NEUTRAL
NeoPolyp::04414eaa922bca73d5379c7c851a5082,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,19,2302,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.01857889979338843,0.0009065009065009064,1.0,1.0,0.7349936143039592,0.7597384471548223,0.576526330402081,224.0,0.09730668983492616,0.0,1.0,0,NEUTRAL
NeoPolyp::0449922d6157edc3d82df22c41b503dc,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,20,3167,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.02556011105371901,0.0010764698264698264,1.0,1.0,0.718140589569161,0.6910298610519168,0.5624639003854868,266.0,0.0839911588253868,0.0,1.0,0,NEUTRAL
NeoPolyp::0449ad43fe2cd066b9fdbc3bbc04a3af,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,21,9987,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.08060272469008264,0.001813001813001813,1.0,1.0,0.7977474239156482,0.4196110954617535,0.6253006583107713,448.0,0.04485831581055372,0.0,1.0,0,NEUTRAL
NeoPolyp::047dc0cbb58aa032554b5eb4fcf0130a,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,22,13760,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.11105371900826447,0.003399378399378399,4.0,0.9148255813953489,0.7629090909090909,0.5720420305983406,0.5191447217416025,552.0,0.0438512869399428,1.0,3.0,0,BENEFIT
NeoPolyp::04801b37705c1e555525d4f09ce7270b,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,23,14405,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.11625936208677685,0.0032213157213157213,2.0,0.8920513710517182,0.6568186464935596,0.6380089956360055,0.42280103474648195,618.0,0.04809338521400778,0.0,2.0,0,NEUTRAL
NeoPolyp::0496b83ef461c2a337948a41964c1d4f,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,24,0,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENEFIT
NeoPolyp::04c34a359bbb402345d341253851bc86,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,25,4874,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.03933690599173554,0.0013435638435638437,1.0,1.0,0.7125730994152046,0.6709313960578666,0.5556729058497841,332.0,0.06811653672548215,0.0,1.0,1,HARM
NeoPolyp::04ccdc265a0b0a1230b118fa8625605d,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,26,5717,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0461405604338843,0.0014083139083139085,1.0,1.0,0.7569177810141665,0.6673165447905555,0.5932251684691784,348.0,0.060871086234038835,0.0,1.0,0,NEUTRAL
NeoPolyp::04f234b701fc691ffa02f6068b683019,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,27,1985,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.016020467458677686,0.0008336570836570837,1.0,1.0,0.7541793313069909,0.6597910319115287,0.5878085981125214,206.0,0.10377833753148615,0.0,1.0,1,HARM
NeoPolyp::051fc90e85d064f787d4be168d951058,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,28,2735,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.022073540805785125,0.0009550634550634552,1.0,1.0,0.7877304147465438,0.5962305968449831,0.6170824409342204,236.0,0.08628884826325411,0.0,1.0,1,HARM
NeoPolyp::052600f1f93e952886d1697f8af9b550,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,29,5652,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.045615960743801656,0.0021772209272209273,5.0,0.9359518754423213,0.7740708223587943,0.809483236802064,0.5818782653790135,338.0,0.06389413988657845,0.0,5.0,0,BENEFIT
NeoPolyp::0528810e9d05be942fd5dd0902e0db22,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,30,10908,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.08803589876033058,0.002679033929033929,2.0,0.7314814814814815,0.7594707786027032,0.6318442313823653,0.5850023987255936,414.0,0.051886201278355686,0.0,2.0,0,NEUTRAL
NeoPolyp::054d694539ef2424a9218697283baa36,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,31,1864,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.015043904958677686,0.0008255633255633256,1.0,1.0,0.7845117845117845,0.850835219882538,0.5628535857642613,204.0,0.10944206008583691,0.0,1.0,1,HARM
NeoPolyp::0676289b3e732adb4c5d1580670d78b9,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,32,3310,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.026714230371900828,0.0011007511007511007,1.0,1.0,0.744489428699955,0.6857569208307445,0.5622119205980869,272.0,0.08217522658610273,0.0,1.0,0,BENEFIT
NeoPolyp::069910ea2abe3c84417fda8019410b1f,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,33,4991,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0402811854338843,0.0013516576016576018,1.0,1.0,0.7449253731343284,0.7746334751361795,0.5622176820275613,334.0,0.06692045682228011,0.0,1.0,0,NEUTRAL
NeoPolyp::06cb09d1fc6869d7b4193425b976973f,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,34,3309,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.026706159607438017,0.001651126651126651,2.0,0.528558476881233,0.694047619047619,0.8677691232400855,0.5179230418633753,206.0,0.11778158947970269,0.0,2.0,0,BENEFIT
NeoPolyp::076135d76d0bbd4ce2a1405f7d507592,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,35,2114,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.017061596074380167,0.0008417508417508418,1.0,1.0,0.7844155844155845,0.533578330559867,0.6140280020052535,208.0,0.09839167455061495,0.0,1.0,0,NEUTRAL
NeoPolyp::077bad31c8c5f54ffaa27a623511c389,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,36,812,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.006553460743801653,0.0005584693084693085,1.0,1.0,0.7518518518518519,0.8728074232708741,0.5358061824647998,138.0,0.16995073891625614,0.0,1.0,1,HARM
NeoPolyp::07907941a8490fd7df8e26031fbb5e52,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,37,1571,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.01267917097107438,0.0007284382284382285,1.0,1.0,0.7773379515091539,0.4665350326382757,0.6093138344184648,180.0,0.11457670273711013,0.0,1.0,1,HARM
NeoPolyp::081835cf877e004e8bfb905b78a91391,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,38,4311,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.034793065599173556,0.0016835016835016834,1.0,1.0,0.552479815455594,0.972697679774861,0.3130410024414201,416.0,0.09649733240547437,0.0,1.0,1,HARM
NeoPolyp::085835c525af63a987f428c953248704,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,39,24958,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.2014301394628099,0.0030756280756280754,1.0,1.0,0.7512717859185455,0.8512238626526278,0.542990785653006,760.0,0.030451157945348185,0.0,1.0,0,NEUTRAL
NeoPolyp::08cc3736e216b08d237285e26c90e179,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,40,2713,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.021895983987603305,0.0010845635845635846,1.0,1.0,0.7340367965367965,0.8270113130056364,0.4746681259294447,268.0,0.09878363435311463,0.0,1.0,1,HARM
NeoPolyp::08d237285e26c90e1797c77826f9a702,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,41,11366,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.09173230888429752,0.001991064491064491,1.0,1.0,0.7681805893484726,0.6728183494419374,0.5900479559240793,492.0,0.04328699630476861,0.0,1.0,0,NEUTRAL
NeoPolyp::09384b57bb6a052600f1f93e952886d1,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,42,3779,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.030499418904958678,0.0013597513597513598,1.0,1.0,0.5712773998488284,0.8744197377200755,0.4206377068422558,336.0,0.0889124106906589,0.0,1.0,1,HARM
NeoPolyp::09817287a8aef566999467c2a48847ae,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,43,13228,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.10676007231404959,0.0021286583786583784,1.0,1.0,0.7804129793510325,0.6819424052805357,0.6008036493470453,526.0,0.03976413667977018,0.0,1.0,0,NEUTRAL
NeoPolyp::099130d98309817287a8aef566999467,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,44,7419,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.05987700154958678,0.0016592204092204092,1.0,1.0,0.7110408280621047,0.5463315539101563,0.5546097774415866,410.0,0.055263512602776656,0.0,1.0,0,NEUTRAL
NeoPolyp::09d1dff09b8405734fbeedd0f9da760d,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,45,7270,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.0586744576446281,0.0021650802900802903,2.0,0.6529573590096286,0.6370101986044016,0.8146416073354584,0.4814417719069844,352.0,0.0741520960606699,0.0,2.0,1,HARM
NeoPolyp::09df7cd066b37f538abe9de67869ac66,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,46,3701,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.029869899276859502,0.0011088448588448588,1.0,1.0,0.8134065934065934,0.36759476720080453,0.6194807614116802,274.0,0.07403404485274251,0.0,1.0,0,NEUTRAL
NeoPolyp::0a1230b118fa8625605da2023387fd56,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,47,12532,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.10114282024793389,0.00271950271950272,3.0,0.98084902649218,0.6394090719933416,0.8720516218404094,0.47210691107053815,572.0,0.046534331272372276,0.0,3.0,0,NEUTRAL
NeoPolyp::0a22abd004c33abf3ae2136cd9dd77ae,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,48,2726,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.022000903925619833,0.0010036260036260037,1.0,1.0,0.7093416601613323,0.7394594173127403,0.556970705884871,248.0,0.09097578870139399,0.0,1.0,0,BENEFIT
NeoPolyp::0a6085835c525af63a987f428c953248,DeepLabV3-R50,DeepLabV3-R50::20260817,20260817,d63f914e337295652627c773332d8e7382fbcd6a39d69805e1316dcc759605a2,49,21622,F:\MEDSEG_SAFETTA\outputs\Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1\state_predictions\deeplabv3_r50_seed20260817_predictions.npz,0.17450606921487602,0.002840909090909091,1.0,1.0,0.7513900472616069,0.8253016550145752,0.5513552353951551,702.0,0.032466931828693,0.0,1.0,0,NEUTRAL
