basename,size_bytes,sha256,syntax_ok,syntax_error
Q1_R05D0_neopolyp_backup_confirmatory_target_selection_lock_v1.py,18702,0835e2169d7dc31676c5c800685d90bfa31cac780bacca000b26564d6c8e8096,True,
Q1_R05D1_neopolyp_acquisition_pairing_duplicate_qc_v1.py,29769,a11c8c7f76a4622b826ae2ecd38950cd63036635746a608f46d3749ff90d2e20,True,
Q1_R05D1_neopolyp_acquisition_pairing_duplicate_qc_v1_fix2.py,31307,55ebe1b051bc250c3d5d471ee224fb5cd121501621120aaeb4729b1b3e2eee31,True,
Q1_R05D2_neopolyp_prospective_paot_probability_lock_v1_fix1.py,55334,663e3661e0903712065776cb6a2c0af7f011e731a3ffaf38ade0dcfad39eb077,True,
Q1_R05D3_neopolyp_source_a1_prediction_lock_v1_fix1.py,54105,df22d6f3054257743d1f12d9e757323ea9f4a052b7642eb4ab610da46ff21251,True,
Q1_R05D4_neopolyp_gt_reveal_paot_confirmatory_evaluation_v1.py,54720,f26cf378ceaee69acc4782a551c07d613a1cc882acad938d6151c824e54633ed,True,
Q1_R06A_source_only_architecture_robust_harm_risk_envelope_v1.py,38675,09340432564f1e6a3fbdb2f112814e577744e38f6f44982af0c172593fdc7170,True,
Q1_R06B_source_only_nested_recall_anchored_harmguard_gate_v1.py,41218,9378781baca9131de9a1ee2082e29363b32d6bb2ccfcb6cc31770737283fff4d,True,
Q1_R06C_scalar_harm_risk_gate_feasibility_frontier_audit_v1.py,23459,aef8b162449ecf8e7b28312ad6f8df6451eabc1a31d612394f9e7e3cbefb8a42,True,
Q1_R07A_neopolyp_external_predictability_control_gap_audit_v1.py,25354,acef66c0a0b73e0999c59a81d6dadd4e076995568a77adcc0a9d91ab286aef51,True,
Q1_R07B_harm_auc_outcome_conditional_decomposition_v1.py,18721,f165a380e4bb097c48b2346b340273c7aa29c7161153c6e73e82107e0b3b6d58,True,
Q1_R08A0_mnms_kaggle_mirror_archive_identity_audit_v1.py,14686,1a5ee7d913a258db2efe0b84f2a05ea97540f8cc582e6929ca60eadbca53b560,True,
Q1_R08A0_mnms_kaggle_mirror_archive_identity_audit_v1_fix1.py,23079,00ceb1e2fc54a0acd6987ae9f7fb101fa75a55a80aed9de8ce2452e3564d4b04,True,
Q1_R08A0_mnms_kaggle_mirror_archive_identity_audit_v1_fix2.py,24362,bfcfc1786cd889ad55cf6e7897c62cab2509c7f64e3bb1d7faa3872d3ceb563b,True,
Q1_R08A0_mnms_kaggle_mirror_archive_identity_audit_v1_fix3.py,26376,a6cb92caf9af2b6f0ce7f3128edac851f9f2c4ea58d4c875602ccf44877ec36a,True,
Q1_R08A1_mnms_zip_native_metadata_vendor_domain_audit_v1.py,37100,15b138f8a0732aa49b4a8c18194c3c44c8b92af46d6e2c1b0ada14643406856a,True,
Q1_R08A2_mnms_zip_streaming_compact_preprocessing_v1.py,52082,802b48fb1d484b4e752cb9bc9a047536fe8f05e2d3a730d9da19e1d002474a84,True,
Q1_R08A_mnms_cross_modality_asset_audit_v1.py,27548,86b0e5dcbe94559d887a8066fdf0545f098083b45466c1b8f4046b5ff709a949,True,
Q1_R08B0_mnms_source_only_deeplab_pilot_v1.py,47036,867a5c1d13e92092d5e8c4feb86029b60b69a9c9e9fadbd565fa21c8b6ee7c02,True,
Q1_R08B1_mnms_heterogeneous_source_only_panel_v1.py,41888,f4e08a166519911db6ee9a6db4e1d44464504bd1c9f8db7789d2e741a2a0e2d9,True,
Q1_R08B1_mnms_heterogeneous_source_only_panel_v1_fix1.py,46596,77a8e61aa6d91b3a090fc55ca9ce08988b5ed213ff7005b9b19559135e00f690,True,
Q1_R08C0_mnms_source_utility_asset_v1.py,33043,5df6243a616c6f8eb3aa27e344ecc5b27c7de16f3b86c3c335979c709c66ef89,True,
Q1_R08C1_fix2_mnms_pre_adaptation_harm_predictability_audit_v1.py,6332,4b0ad49a32a35727778261f5451540b88484358d57d63753f2e893a304ee35b9,True,
Q1_R08C1_mnms_source_only_harm_predictability_audit_v1.py,4292,4bf5f2c09069823aa41ada4a891831800e514557264041bb8b8463f8dab29939,True,
Q1_R08C1_mnms_source_only_harm_predictability_audit_v1_fix1.py,4927,8e9037af650999408f1a652dca2b3f235d44d32fe90a30f269b8555a1e621cbb,True,
Q1_R08D0_mnms_risk_aware_policy_evaluation_v1.py,5388,4adee31f3e943742fae91c1fd7fdaf35dd40827c2c60c1e392e1ff2c5a529d80,True,
Q1_R08D0p5_source_risk_replay_v1.py,2959,f403a20f3e3d1ffbac13760da86a442b059525f63480b6c8dbe0a472fed53bee,True,
Q1_R08D1_mnms_safety_utility_pareto_frontier_v1.py,4743,1f6208c29d6ee38eae68650d522bb748e56ca3bd8dc40952cd99c23b0a2d9e28,True,
Q1_R08E0_mnms_frozen_safety_operating_point_lock_v1.py,2395,b563a1801a0a597bc7e196e71a921ea4ba649d8a1118b52bc280f0097e3894a4,True,
Q1_R08E0p5_frozen_harm_predictor_reconstruction_v1.py,3885,05b580dd9a88a6ca31c0b3def82a868448d7730beb92c0e974d90f2c3674541f,True,
Q1_R08E1_neopolyp_frozen_risk_inference_v1.py,4231,8ea105c6257380fe391d3246e15ed5280735317cf90764f76a8e5203a9d47a6d,True,
Q1_R08E1_neopolyp_frozen_risk_inference_v1_fix2.py,3492,2e19402e101d7450d2009efdd9a2465f2fab571b9b370ff5f46ab1f39c8f118a,True,
Q1_R08E1_pre_neopolyp_feature_assembly_v1.py,3647,cc4d6d88d14fa967d5a786e3064183f6a100abf47471ec9e2d69d462ca46787a,True,
Q1_R08E1_pre_neopolyp_feature_assembly_v1_fix1.py,4090,642b0e7856f2f3e61b290fcfc1b16c6b6b40d3d7aea507f94bb55d420764aff9,True,
Q1_R08F0_neopolyp_frozen_risk_aware_external_validation_v1.py,3213,47954f4c912d22074685e86ee04b6a0e11a09617f5665756418ea9b09e377736,True,
Q1_R08F0_neopolyp_frozen_risk_aware_external_validation_v1_fix1.py,2935,eaaf05d4c8d57c01ed0e639753b9f2736e93f17541c38d807437d32fa03691f7,True,
Q1_R08F1_risk_distribution_shift_audit_v1.py,3667,52e09e02048283e7cf30742724f88932b982b36195bfaa8ff0912b5abfd902b3,True,
Q1_R08F1_risk_distribution_shift_audit_v1_fix1.py,3001,b62f942f7b72352f56f723e6506032dda3e0086c8edb90402bf0a6baac85606e,True,
Q1_R08F2_domain_invariant_risk_normalization_feasibility_v1.py,3042,def0b337b327bee41ac6f7f9b11d2488553f40f51a6bbf32f109551905b71ebe,True,
Q1_R09A_feature_distribution_shift_audit_v1.py,4000,c80cffe1915a3b847681bdc3ddf3f26ad20dfce197e3347adca293894cb31631,True,
Q1_R09B_domain_invariant_feature_construction_audit_v1.py,5020,8ea3dd94c8c756dba177eb7d59214fae0a255fe19acb22a5bece2a684406c0de,True,
Q1_R10A1_representation_shift_audit.py,6033,978593ba1adb6a969013672c13389195ed77fab13fcd9373d5295e6e4a177808,True,
Q1_R10A2_3_external_feature_lock.py,2140,2ee424f489ebfa4898f83959d95268ecf98d2b5136668b5e490215af6e002e18,True,
Q1_R10A2_3_external_feature_lock_fix1.py,2356,4b7f05dd6dd134a7f371eeace10c542b87e593a744378acdaf299e2b2f9a2627,True,
Q1_R10A2_4_external_asset_reselection_fix1.py,2439,615e8244189ffa51cf930432c33815b5fb0e443c5b669e36df871fb68a94fcb8,True,
Q1_R10A2_5_external_lineage_audit.py,3175,e4e56e5971aa677f90a55a58751dfa1078c431e0ab1c79d59f2479faebcd1800,True,
Q1_R10A2_6_external_candidate_inspection.py,2632,936d43b62e248ff915c427a3c3e5321cace149c76caff725c0adaa7868486b69,True,
Q1_R10A2_7_external_representation_lock.py,2184,bb6fee00e954d27992970bd111cad0ad387d48f7cffc320d29ea0b3c6856a6ff,True,
Q1_R10A2_8_external_rur_transform.py,3904,8307b71176d75e4a4868f499320ddd493f3f0d57124c9971279b53954116ef1f,True,
Q1_R10A2_build_domain_panel.py,1897,0f4dcda122309957fff0251dac5243dd8d4f08028f6e5fc68254fa6adb63448f,True,
Q1_R10A2_external_candidate_selection_audit.py,2712,4dec1db50b5405d7831d3d9778025e15c6e160531fde62549bb2cd2c904bdeca,True,
Q1_R10A2_external_feature_asset_audit.py,4536,13e21f7b4270705dca7d0609ee448b0731ab79c039d64b606528cb243fba8e0a,True,
Q1_R10A2_selected_external_verification.py,3257,834c312a3bd3ca497d41a16da055c075da27401f8d202638f69bba9d52fb3c9b,True,
Q1_R10A3_domain_invariance_experiment.py,3964,221d49f3bc27c986cb916e873c7f576e9f2b40b85df529eb154c4ae921ea11ea,True,
Q1_R10A3_domain_invariance_experiment_fix1.py,3104,9a2cbc65b00b498b57cf3f3ee93f11300cabe18c144f7e7c2ff41bb40c6b7d9c,True,
Q1_R10A_0_invariant_feature_builder.py,4042,88436c79a58a6b6649306aeb960e55a2720fa02d22728a8b1623f023097063c1,True,
Q1_R10A_0_invariant_feature_builder_fix1.py,3711,db36743daac6a969e0306a378ec1a8c082d8699bfe5c905320e02c8dd87900d7,True,
Q1_R10B0_structural_invariance_audit.py,4173,d0d1a76ada62ea0d4550c252a3e5334a355902cc4188edc35e90654bc4cce154,True,
Q1_R10B0_structural_invariance_audit_fix1.py,3908,dd80fb4796e10639400eecdad5037cefeb66f0512dc15dee5259730924fd6150,True,
Q1_R10C0_structure_safety_capability_audit.py,4020,cf776a79b6f6530baf3650bee64803c68f42120ba078cdf3b1cb8557285118b2,True,
Q1_R10D0_DISR_baseline.py,3064,21f93ebacf0942aca15fe0eed7c066cd03bbce6fb8b76e050e92fac867e57408,True,
Q1_R10D1_DISR_prototype.py,6453,30fe2ecf05401669dc215df4af1878080dd6e0180f19b30681159d47b8c65505,True,
Q1_R10D1_DISR_prototype_fix1.py,6513,b0772e8569a76217009654461469ccd763249d75401923d02cb9a3e4a3ecf89c,True,
Q1_R10D2_DISR_representation_audit.py,4043,b82474ae8b889fe8746b405f0f627cf8cf92ddc390b47a2b927150042c94b14e,True,
Q1_R10E0_domain_safety_disentanglement_prototype.py,6228,c32e0ca9556e5e4b879a541de185304f2ab205bdc1719b8c7e98961cc6178707,True,
Q1_R10E0_domain_safety_disentanglement_prototype_fix1.py,6240,8cb9a737192a84097115789bdaa2d010ed0eb5b4c06b6e602a3df1154a9c89f5,True,
Q1_R10E0_feature_panel_builder.py,3222,e43134974c709e1fd692c1072227416ce9eeb27680184fa32d0d6db93eb77859,True,
Q1_R10E1_disentanglement_audit.py,5491,878315a72e211e6a37a4f2a82123e7d213552e32bda203f9592a9063c8c0cd5d,True,
Q1_R10E1_disentanglement_audit_fix1.py,5819,6a610635e04f6597766027c785543e1eb2fd19f0a9ebb693849e8e21dec1c969,True,
Q1_R10E1_external_complete_feature_builder.py,2471,407d41af71192f00d8faa761daca79cb707a94211fadf51b3c203e7a2b488bd7,True,
Q1_R10E1_external_complete_feature_builder_fix1.py,1796,e2b541f5e00747603668fe63b296ab39eefdfe7a8121df9cf36671fa8ebc1795,True,
Q1_R10E1_external_rur_tail_completion.py,2312,68cbc75e6127c44032587a7f1d4127ef51968fc634b10e8f34b236dded5e47da,True,
Q1_R10E1_feature_lineage_repair.py,2555,0bfeceb993f5aac2523b89268213b88f316220f18265c1f9d948cc2e735889a4,True,
Q1_R10F0_safety_domain_confusion_prototype.py,4896,3ed684076d5e0c5979ca44f439aeee583cdc6345425bab2d9f1527a906803ca7,True,
Q1_R10F0_safety_domain_confusion_prototype_fix1.py,4926,46a3ad287a02d9db9b529548f60a7da1f27897c5cbd83d2f1848bcd3b386caa6,True,
Q1_R10F1_DASD_audit.py,5342,fe8b7fb405bb2cfcbdcbeff9f37c1555ff47eb0eabf8b07488cb8635848e2b25,True,
Q1_R10G0_fusion_baseline.py,3597,6b32bc56193b9895e23f41d8e791f723b2cbb7d39822d96f38fdc3d29e72d3dd,True,
Q1_R10G1_structure_guided_calibration.py,3790,02e6ac166d3e7aa97dbb4d35bbe966a4cf2f72185fbd06c77908be8630f794f8,True,
Q1_R10G2_learnable_structure_calibration.py,4369,7927a43943f44f1d71d748f173a385c1b3f62f339217bb16e24c7b6915e3a199,True,
Q1_R10H0_SGUC_metric_reaudit_fix1.py,7228,2956fb4890fc14acc61be4ca9dfcd43202c7fdeb64fc6f11f78de625b5507f3f,True,
Q1_R10H0_SGUC_seed_robustness.py,4319,3af756bfc23fb3503701d5ac47fd57ebb4c73dfbe7782734d7eb7d3add9622f0,True,
Q1_R10H1_external_explicit_key_lineage_search_fix1.py,11140,7cbe5caa4b9957745ceee51ad265389214f84bee4d9e6be154fa0edc035da706,True,
Q1_R10H1_external_label_audit.py,653,5b501b84afbb3a6e8a86b26e89db3e9af7d1d024475ffcf84a84e195a7e23934,True,
Q1_R10H1_external_label_lineage_audit_fix1.py,8457,de3ea8baa728f4f981cd61ae18445b350fc8a8c2a113924271948e9de8ab0155,True,
Q1_R10H1_external_lineage_bridge_audit_fix1.py,12837,1585721dc8398e2864f1311981e06cc82c3ddd7af730e296ddf83ca567734eb4,True,
Q1_R10H1_external_lineage_search.py,3679,8e6899b40de27c4f66c01bf67c00f0ba60671968a0e32a186fa42ff9938cea9e,True,
Q1_R10H1_external_row_lineage_recovery_audit_fix1.py,15727,3b0d34363e09119faab94425817ce8bc92762c3c62f4f173eaf1e5bc86c7232b,True,
Q1_R10H1_numeric_equivalence_state_bridge_audit_fix1.py,16102,7d13b33e4e3b5ea216827b6d7615ce16a79697183b12d1b90920a3f31c333b79,True,
Q1_R10H1_R05D2_state_bridge_audit_fix1.py,12433,bba2e3ead9bc1191403eeef30b8a3afd3b87a072ca3a292fe5869193fc6abc59,True,
Q1_R10H1_SGUC_external_validation.py,4609,a6fa603744fd399f5d87dfee63172fbde2bdf09222d8174fddc381929d9be900,True,
Q1_R10H1_SGUC_external_validation_fix1.py,5457,b59ed317b961561823e9fa12689cf94b758cedda88e2372ff137b5dfdab74038,True,
Q1_R10H2_NeoPolyp_external_labeled_panel_builder_fix1.py,16756,e3ada012cb55636ec6bc8358e0a4bf358d428b2ecb2afe95af9bbb52315e92a1,True,
Q1_R10H3_case_heldout_cross_domain_transfer_fix1.py,20804,b95c2070131d3a9efd3f2324528e19651e0d3784f49957aa012d43fc7bf30cf3,True,
Q1_R10H4_structure_transfer_mechanism_audit_fix1.py,15026,9988e70081f60217e9d12676f80bceccb2d3cefd333708ecc6a1d56d6c5c600a,True,
Q1_R10H5_structure_identity_forensic_audit_fix1.py,14867,ccad340f4cd9a722390eecd5fd7897f9aebcfe3750b0b0ce3c5b4d239f21b140,True,
Q1_R10H5_structure_identity_multiset_audit_fix2.py,16098,8d2da1dc82a519246b8b80c66a8283e49c5c175fb2e3a3515549382877833cb8,True,
Q1_R10H6_unlabeled_stability_filter_feasibility_fix1.py,10299,03b3b69def43ec20ed322b21811fe1d03c55d3b35da421102f0a9f1927821f5e,True,
Q1_R10I0_leave_one_model_family_out_stability_filter_fix1.py,19043,6effd8154d0c8ee02320d25f430f120faaa180227a9e7ffd0e1a50e4c55de9c3,True,
Q1_R10I1_source_relation_stability_LOMO_feasibility_fix1.py,20115,46fae2cc5d67f4ed323f8233bd969a35ada6e493e2eb90bb8e55b79cd6aeeeb6,True,
Q1_R10I2_structure_cross_model_operating_point_audit_fix1.py,20156,6f10a39a4449721b4f18ec137b57211339e95fa007b8727cef76c03450a465da,True,
Q1_R10J0_source_prediction_npz_relocation_schema_audit_fix2.py,19615,f6c6caed6cc192f5c474f052ad2c040bf79e301034a7e912b670ee98888fb687,True,
Q1_R10J0_source_prediction_npz_schema_audit_fix1.py,15957,5bc17eef6f860a6278d9cc782f6cb7d0955cc7f7146745d89041c4a11afcf278,True,
Q1_R10J1_source_mask_morphology_feature_builder_fix1.py,21221,88555d55c33a57c76cf68e7605f267c500fe8b44921706300131879ca013dccf,True,
Q1_R10J2_richer_morphology_LOMO_confirmatory_fix1.py,21341,1e9392e8d49b1cf02372c6a76bfb534861bbbc1e6c21bbecf316a3b26c1fb160,True,
Q1_R10K0_spatial_mask_subspace_LOMO_feasibility_fix1.py,27346,dfc30bd2684f2ec4eecce5567e64baf7e0c3b6eb8aafbf297fc2aeb0adc7ef15,True,
Q1_R10K0_spatial_mask_subspace_LOMO_feasibility_fix2.py,27555,c7205b59efeaa39fc1f8649d5ea829d91d0cb418170c5f245b344845fedf2e06,True,
Q1_R10K1_higher_level_representation_asset_audit_fix1.py,14497,eccb275460e5d6e74221c0cb775d17874422bd8e5b36c9cedaf794483032b407,True,
Q1_R10K2A_dinov2_image_mask_representation_lock_fix1.py,22637,25853e849fecaf847f7ba04dcc2c8b520aa3e248f50af5ac21d19bb0ce4c4778,True,
Q1_R10K2B_dinov2_image_mask_LOMO_evaluation_fix1.py,31278,d4d5ad2cd59b290b421a18691f84f2b7f9d43b29eff53674230ecafc0fa17a8f,True,
Q1_R10K2B_dinov2_image_mask_LOMO_evaluation_fix2.py,36352,368fc73281461d45241dab06a883f9c3b0bba18b23f08c80b393e780aff6cda3,True,
Q1_R10K2C_case_clustered_paired_bootstrap_fix1.py,20496,3ca49845cea27ac621a7419a312f92bc88f819eefe6c9d6e5bde060327393a13,True,
Q1_R10K2D_confirmed_method_freeze_fix1.py,13858,3aa9fa71c931679bcc365bd3cbc4dbfc3c99d5c41ab9db89acff564a50b2b182,True,
Q1_R10L0_final_source_safety_estimator_lock_fix1.py,19166,24b672fd9c6a00b6c230282e5321cff92d52886d0eb7ba2d8da688270f7f5b8b,True,
Q1_R10L0_final_source_safety_estimator_lock_fix2.py,20587,e6fb3c8cd0904d4206c114c909d936d8fc177f0469f81b20af7717ad9d7f6d2e,True,
Q1_R10L0_final_source_safety_estimator_lock_fix3.py,24784,ed828784d835b2fc77d93e3afb6865b382da7774dae6826add17ca8534cb2bb6,True,
Q1_R10L1_polypgen_external_cohort_asset_audit_fix1.py,13574,98b3a92cd1dc59e8a3d79cc72668566c146e9a38d1ecd313ae9853f60857318c,True,
Q1_R10L1_polypgen_official_singleframe_asset_audit_fix2.py,16394,b79639aba428054accbfdf7749235884d0bf68d359ee2a86cb73a41a6fc40673,True,
Q1_R10L1A_external_dataset_identity_audit_fix1.py,10753,acdda46aba0b0e6dd9a5dc923da73f043f48f3eb0525475a76bb34235e476948,True,
Q1_R10L1B_polypgen_unique_static_manifest_lock_fix1.py,15300,0e38ffc3bbcc91a9a0e200b141e0381779aeb950411bf7044902763b05864335,True,
Q1_R10L1B_polypgen_unique_static_manifest_lock_fix2.py,16922,74baf21b807e2a20431b7eea81b7f196cbb08948d7ff56d97807b05787a75001,True,
Q1_R10L1B_polypgen_unique_static_manifest_lock_fix3.py,18357,554bc485160ede639d0ff6bfefee0e09a3916080d6287c62b97129e0a0f33c2c,True,
Q1_R10L2A_source_training_lineage_discovery_audit_fix1.py,26394,791a7de1d8687cb98750776a2157e26733419f3c06897e0c12ca1cb32a5aac3d,True,
Q1_R10L2B_authoritative_s01_source_training_overlap_lock_fix1.py,20278,a90de870b5c003452d491db95e0887d5b3dcbfa758e224d45e919381c3c53aed,True,
Q1_R10L3A_polypgen_source_a1_prediction_lock_fix1.py,34589,931d9618d351cd25004b5abe05987d80f327773309dce11023fe62fa639b214b,True,
Q1_R10L3A_polypgen_source_a1_prediction_lock_fix2.py,41226,4cae02c30e82781c6e7d3b74b6a312974789213a9cc59a44ca99bbfb94405708,True,
Q1_R10L3B_polypgen_frozen_safety_score_lock_fix1.py,40456,e19e802355dc36873af4bf78ac336ba24313eea8beb19c40c3f646eb4effc646,True,
Q1_R10L3C_polypgen_gt_reveal_prospective_external_evaluation_fix1.py,47619,6761de1da2c6ece73dd1b18f566517b0c438c37b060a369084bdf26624375e6f,True,
Q1_R10L3D_polypgen_external_generalization_diagnostic_freeze_fix1.py,13968,911b8334e27f608131930476add9754b713c06165adcc65a172e6ceb27a86d49,True,
Q1_R11A_tta_action_inventory_and_lineage_audit_fix1.py,21154,ffff9a593c21f8ad9077cab8c36fe2c8da7dc70676c71fe3d6fb70d85ce8faa8,True,
Q1_R11B_candidate_action_semantic_lineage_audit_fix1.py,11825,fe13eccee8cb69d2ec3b9a2621f0a207077e3f109731ce6b2a259f0455c23c10,True,
Q1_R11C_neopolyp_tent2_prediction_lock_fix1.py,23636,96fe4d9ab13a9745bd054f1722fcf2cf7f562c1feb62ec62a1ad20acfe6b62f7,True,
Q1_R11D_tent2_frozen_safety_transfer_evaluation_fix1.py,21784,0abd93de6e38e41358561779b32e87b89c626d87085afb65190aefe2fbf6fef2,True,
Q1_R11D_tent2_frozen_safety_transfer_evaluation_fix2.py,23649,9521aa2b5bced81d0b92472e97b0d676dcdc0cf56a361e507bd7e38d1fac481b,True,
Q1_R11D_tent2_frozen_safety_transfer_evaluation_fix3.py,26179,7290c43493ce546a73d80b9c524a5153f9a516171d064f8cd94cd0a00f18b00c,True,
Q1_R11D_tent2_frozen_safety_transfer_evaluation_fix4.py,29379,c35f93faa4dd1e518a8ca2eedbe32537df085539934036a20d41b4be8fd85482,True,
Q1_R12A_sar_dense_episdic_three_family_feasibility_fix1.py,13227,825f05a80ffc968a87df01f7eb628460c12d630313ccab960a9c0daaf121152f,True,
Q1_R12A_sar_dense_episdic_three_family_feasibility_fix2.py,15577,2b50531dab7755d16906c8871c439d849f5c6d36a30851e2d36977316812e357,True,
Q1_R12B_full_neopolyp_sar_prediction_lock_fix1.py,28203,290342428cce35e4c303a732555f474f47514419943f04a4af633aadbd7fd6d0,True,
Q1_R12C_sar_gt_utility_reveal_and_outcome_lock_fix1.py,12816,2b27e6855cf1a56c7e529d92d2d1d748c46628e6b8013000bc316eab0c716c77,True,
Q1_R12D_sar_transfer_degeneracy_stop_lock_fix1.py,6183,57744393ee847dc0756d543574a2fc03b4e229fb6a9debdf253ab30435762e17,True,
Q1_R13A_confident_pseudolabel_three_family_feasibility_fix1.py,21979,459832b23495b276279a879c2993fa91aea52a3c36e61a525be6b8d255022f83,True,
Q1_R13A_confident_pseudolabel_three_family_feasibility_fix2.py,25107,5333af7a0d162ea86d68a1ba7039c699b85e00e596f66e1cf0817e4667b56459,True,
Q1_R13B_full_neopolyp_pl_conf90_prediction_lock_fix1.py,24080,765cf1dcd50eb1d8079c1fe67bd20b0e3b10a6d6fe1f44308b8edda76be3f870,True,
Q1_R13B_full_neopolyp_pl_conf90_prediction_lock_fix2.py,29414,6f7ce6a3b15abf1205dc77703320ba823b79d392dc4f43beb51e0a7b94a2521d,True,
Q1_R13C_pl_conf90_gt_utility_reveal_and_outcome_lock_fix1.py,12742,f2dd94d59e61be0432a2117e60aca1dc7ec4352af15e0aea0a27afdbf293590b,True,
Q1_R13D_pl_conf90_frozen_safety_transfer_evaluation_fix1.py,31474,da2a282f043e8477757abf80a1f897bf12a076cf76e7b5b612d93e73a0e206ee,True,
Q1_R13D_pl_conf90_frozen_safety_transfer_evaluation_fix2.py,34390,4144f1f76a2112ce4004799e85451f88128bbe4569a1cda01dead06edb62845d,True,
Q1_R13E_cross_action_harm_semantics_diagnostic_lock_fix1.py,11056,1d476f42ea9fe8dfe6fece9694e6989fee948a2f618253d3d93cba0d74732e50,True,
Q1_R14A_source_training_dataset_identity_audit_fix1.py,12076,f79c03644d04110812a3777c63945214d8bc8f27faea8fc49f344e19b2df7509,True,
Q1_R14B1_sunseg_dual_archive_asset_inventory_fix1.py,10664,aabdf792d6689500af009cf4adbcbce8af19ab2cde73b8ad3b3b13fb6d5ebe52,True,
Q1_R14B2_sunseg_deep_schema_pairing_identity_audit_fix1.py,11561,4ff76e40ce2a828aa7eb839975e4162dc027a4369d249d968815cd37efd63010,True,
